full_text,cleaned_text,tokenized_text,stopwords,stemmed_text
Salfok sama plat nomor mobil pak lurah kok pake kode R. R itu kode plat nomor untuk wilayah Banyumas Raya. Mana markas jumbo dkk itu mirip bekas pabrik gula. Ada rel kerata api juga. Dan juga sudah beredar kabar akan ada pembangunan jalan tol yang melewati Banyumas. #FilmJUMBO,salfok sama plat nomor mobil pak lurah kok pake kode r r itu kode plat nomor untuk wilayah banyumas raya mana markas jumbo dkk itu mirip bekas pabrik gula ada rel kerata api juga dan juga sudah beredar kabar akan ada pembangunan jalan tol yang melewati banyumas,"['salfok', 'sama', 'plat', 'nomor', 'mobil', 'pak', 'lurah', 'kok', 'pake', 'kode', 'r', 'r', 'itu', 'kode', 'plat', 'nomor', 'untuk', 'wilayah', 'banyumas', 'raya', 'mana', 'markas', 'jumbo', 'dkk', 'itu', 'mirip', 'bekas', 'pabrik', 'gula', 'ada', 'rel', 'kerata', 'api', 'juga', 'dan', 'juga', 'sudah', 'beredar', 'kabar', 'akan', 'ada', 'pembangunan', 'jalan', 'tol', 'yang', 'melewati', 'banyumas']","['salfok', 'plat', 'nomor', 'mobil', 'lurah', 'pake', 'kode', 'r', 'r', 'kode', 'plat', 'nomor', 'wilayah', 'banyumas', 'raya', 'markas', 'jumbo', 'dkk', 'bekas', 'pabrik', 'gula', 'rel', 'kerata', 'api', 'beredar', 'kabar', 'pembangunan', 'jalan', 'tol', 'melewati', 'banyumas']",salfok plat nomor mobil lurah pake kode r r kode plat nomor wilayah banyumas raya markas jumbo dkk bekas pabrik gula rel rata api edar kabar bangun jalan tol lewat banyumas
Meski menyalahi paham matrealisme tapi film ini di sisi lain juga menunjukkan betapa rakusnya kapitalisme. Jiwa Meri sekeluarga yang mana sudah tenang di alam baka saja masih diganggu demi kepentingan penyaluran modal. #FilmJUMBO https://t.co/6qto7soTVh,meski menyalahi paham matrealisme tapi film ini di sisi lain juga menunjukkan betapa rakusnya kapitalisme jiwa meri sekeluarga yang mana sudah tenang di alam baka saja masih diganggu demi kepentingan penyaluran modal,"['meski', 'menyalahi', 'paham', 'matrealisme', 'tapi', 'film', 'ini', 'di', 'sisi', 'lain', 'juga', 'menunjukkan', 'betapa', 'rakusnya', 'kapitalisme', 'jiwa', 'meri', 'sekeluarga', 'yang', 'mana', 'sudah', 'tenang', 'di', 'alam', 'baka', 'saja', 'masih', 'diganggu', 'demi', 'kepentingan', 'penyaluran', 'modal']","['menyalahi', 'paham', 'matrealisme', 'film', 'sisi', 'betapa', 'rakusnya', 'kapitalisme', 'jiwa', 'meri', 'sekeluarga', 'tenang', 'alam', 'baka', 'diganggu', 'kepentingan', 'penyaluran', 'modal']",salah paham matrealisme film sisi betapa rakus kapitalisme jiwa meri keluarga tenang alam baka ganggu penting salur modal
 Selalu Ada di Nadimu OST dari #FilmJUMBO versi yang . https://t.co/0yssIMo3oM,selalu ada di nadimu ost dari versi yang,"['selalu', 'ada', 'di', 'nadimu', 'ost', 'dari', 'versi', 'yang']","['nadimu', 'ost', 'versi']",nadi ost versi
Selamat nonton #FilmJUMBO segenap Grup Keluarga Fajar!! ï¸,selamat nonton segenap grup keluarga fajar,"['selamat', 'nonton', 'segenap', 'grup', 'keluarga', 'fajar']","['selamat', 'nonton', 'segenap', 'grup', 'keluarga', 'fajar']",selamat nonton segenap grup keluarga fajar
Versi bahasa Mandarin #FilmJumbo #SelaluAdaDiNadimu https://t.co/eZ4c15mE2w,versi bahasa mandarin,"['versi', 'bahasa', 'mandarin']","['versi', 'bahasa', 'mandarin']",versi bahasa mandarin
Versi bahasa Jepang #FilmJumbo #SelaluAdaDiNadimu https://t.co/f5U1TnV2c7,versi bahasa jepang,"['versi', 'bahasa', 'jepang']","['versi', 'bahasa', 'jepang']",versi bahasa jepang
Versi bahasa Korea #FilmJumbo #SelaluAdaDiNadimu https://t.co/TBk2GjyNA9,versi bahasa korea,"['versi', 'bahasa', 'korea']","['versi', 'bahasa', 'korea']",versi bahasa korea
Versi bahasa Inggris: #FilmJumbo #SelaluAdaDiNadimu https://t.co/23Vc2hItiV,versi bahasa inggris,"['versi', 'bahasa', 'inggris']","['versi', 'bahasa', 'inggris']",versi bahasa inggris
[UTAS] Kumpulin di sini aja kali ya biar engga bingung nyarinya #FilmJumbo #SelaluAdaDiNadimu,utas kumpulin di sini saja kali ya biar engga bingung nyarinya,"['utas', 'kumpulin', 'di', 'sini', 'saja', 'kali', 'ya', 'biar', 'engga', 'bingung', 'nyarinya']","['utas', 'kumpulin', 'kali', 'ya', 'biar', 'engga', 'bingung', 'nyarinya']",utas kumpulin kali ya biar engga bingung nyarinya
@Adriandhy #FilmJUMBO bener2 terbukti jadi success story film animasi di Indonesia bareng mas Angga dan @VisinemaID ï¸ https://t.co/mxgWO7tDpG,bener2 terbukti jadi success story film animasi di indonesia bareng mas angga dan,"['bener2', 'terbukti', 'jadi', 'success', 'story', 'film', 'animasi', 'di', 'indonesia', 'bareng', 'mas', 'angga', 'dan']","['bener2', 'terbukti', 'success', 'story', 'film', 'animasi', 'indonesia', 'bareng', 'mas', 'angga']",bener2 bukti success story film animasi indonesia bareng mas angga
Terima kasih @indahkus untuk cover Selalu Ada di Nadimu bahasa Mandarinnya . Terima kasih juga @lucy_jjang untuk bantuan teks terjemahannya. . #FilmJUMBO masih tayang di bioskop.. https://t.co/P1YNmbeIT7,terima kasih untuk cover selalu ada di nadimu bahasa mandarinnya terima kasih juga untuk bantuan teks terjemahannya masih tayang di bioskop,"['terima', 'kasih', 'untuk', 'cover', 'selalu', 'ada', 'di', 'nadimu', 'bahasa', 'mandarinnya', 'terima', 'kasih', 'juga', 'untuk', 'bantuan', 'teks', 'terjemahannya', 'masih', 'tayang', 'di', 'bioskop']","['terima', 'kasih', 'cover', 'nadimu', 'bahasa', 'mandarinnya', 'terima', 'kasih', 'bantuan', 'teks', 'terjemahannya', 'tayang', 'bioskop']",terima kasih cover nadi bahasa mandarin terima kasih bantu teks terjemah tayang bioskop
@jumbofilm_id Borong dan dapat stiker. Yeay!!! Fantastic!!! #Jumbo #jumbountuksemua #FilmJUMBO https://t.co/ujbjoA6eCv,borong dan dapat stiker yeay fantastic,"['borong', 'dan', 'dapat', 'stiker', 'yeay', 'fantastic']","['borong', 'stiker', 'yeay', 'fantastic']",borong stiker yeay fantastic
#FilmJUMBO masih tayang di bioskop Yang belum nonton ditunggu kedatangannya Yang sudah nonton bisa perhatikan detail-detail yang terlewat https://t.co/wiG7huLOWY,masih tayang di bioskop yang belum nonton ditunggu kedatangannya yang sudah nonton bisa perhatikan detaildetail yang terlewat,"['masih', 'tayang', 'di', 'bioskop', 'yang', 'belum', 'nonton', 'ditunggu', 'kedatangannya', 'yang', 'sudah', 'nonton', 'bisa', 'perhatikan', 'detaildetail', 'yang', 'terlewat']","['tayang', 'bioskop', 'nonton', 'ditunggu', 'kedatangannya', 'nonton', 'perhatikan', 'detaildetail', 'terlewat']",tayang bioskop nonton tunggu datang nonton perhati detaildetail lewat
Alhamdulillahilladzi Bini matihi Tatimmush Shalihat. 6.621.501 penonton! Terima kasih ya semuanyaa sudah berjalan bareng #FilmJUMBO sejauh ini.. #BUZZERJUMBO Congratulations yaa ï¸ Weekend ini kalau mau ketemu Nurman lagi masih ada di bioskop yaa https://t.co/OWk8OOrRgg,alhamdulillahilladzi bini matihi tatimmush shalihat 6621501 penonton terima kasih ya semuanyaa sudah berjalan bareng sejauh ini congratulations yaa weekend ini kalau mau ketemu nurman lagi masih ada di bioskop yaa,"['alhamdulillahilladzi', 'bini', 'matihi', 'tatimmush', 'shalihat', '6621501', 'penonton', 'terima', 'kasih', 'ya', 'semuanyaa', 'sudah', 'berjalan', 'bareng', 'sejauh', 'ini', 'congratulations', 'yaa', 'weekend', 'ini', 'kalau', 'mau', 'ketemu', 'nurman', 'lagi', 'masih', 'ada', 'di', 'bioskop', 'yaa']","['alhamdulillahilladzi', 'bini', 'matihi', 'tatimmush', 'shalihat', '6621501', 'penonton', 'terima', 'kasih', 'ya', 'semuanyaa', 'berjalan', 'bareng', 'congratulations', 'yaa', 'weekend', 'ketemu', 'nurman', 'bioskop', 'yaa']",alhamdulillahilladzi bini matihi tatimmush shalihat 6621501 tonton terima kasih ya semuanyaa jalan bareng congratulations yaa weekend ketemu nurman bioskop yaa
Loklok: Aplikasi Streaming Film Gratis https://t.co/vtN2bt3qXt Siangg UTBK Wendy Jumat #streamingfilm #nontonfilm #filmjumbo #loklok,loklok aplikasi streaming film gratis siangg utbk wendy jumat,"['loklok', 'aplikasi', 'streaming', 'film', 'gratis', 'siangg', 'utbk', 'wendy', 'jumat']","['loklok', 'aplikasi', 'streaming', 'film', 'gratis', 'siangg', 'utbk', 'wendy', 'jumat']",loklok aplikasi streaming film gratis siangg utbk wendy jumat
